source,target,relation,context,source_document,creation_timestamp
22,0,has part,jCc)0 2\n2. 51 0(k),K082268.pdf.txt,2025-11-05T17:23:40.811131
0,22,part of,jCc)0 2\n2. 51 0(k),K082268.pdf.txt,2025-11-05T17:23:40.811131
281,9,part of,Summary of Safety and Effectiveness\nThis summary of safety and effectiveness information is being submitted in accordance\nwith the requirements of 21 CFR 807.92\n(This section is not confiden~tial FEB -9 2009\nDATE,K082268.pdf.txt,2025-11-05T17:23:40.811131
90,103,country,"Rachel Weissbrod, Director of Regulatory Affairs\nOridion Medical 1987 Ltd.\nHar Hotzvim Science Park\nPOB 45025\n91450 Jerusalem, Israel\nTelephone: +972-2-589-9115\nFax: +972-2-586-6680\nEmail: rachel.weissbrod~oridion.com\nDEVICE INFORMATION\nTrade Name: Capnostream 20 with Integrated Pulmonary Index\nCommon Name: Two Parameter Bedside Monitor\nClassification Name: Capnograph/Pulse Oximeter\nRegulation Number:\n868.1400, Carbon Dioxide Analyzer (Classification COK)\n870.2700 Pulse Oximeter (Classification DQA)\nDevice Listing Number: B051971PREDICATE DEVICE\nCapnostream 20 with the Integrated Pulmonary Index (IPI) software is substantially\nequivalent to the following commercially available device:\nManufacturer Device 510(k)No.",K082268.pdf.txt,2025-11-05T17:23:40.811131
104,103,country,"Rachel Weissbrod, Director of Regulatory Affairs\nOridion Medical 1987 Ltd.\nHar Hotzvim Science Park\nPOB 45025\n91450 Jerusalem, Israel\nTelephone: +972-2-589-9115\nFax: +972-2-586-6680\nEmail: rachel.weissbrod~oridion.com\nDEVICE INFORMATION\nTrade Name: Capnostream 20 with Integrated Pulmonary Index\nCommon Name: Two Parameter Bedside Monitor\nClassification Name: Capnograph/Pulse Oximeter\nRegulation Number:\n868.1400, Carbon Dioxide Analyzer (Classification COK)\n870.2700 Pulse Oximeter (Classification DQA)\nDevice Listing Number: B051971PREDICATE DEVICE\nCapnostream 20 with the Integrated Pulmonary Index (IPI) software is substantially\nequivalent to the following commercially available device:\nManufacturer Device 510(k)No.",K082268.pdf.txt,2025-11-05T17:23:40.811131
53,38,instance of,"Rachel Weissbrod, Director of Regulatory Affairs\nOridion Medical 1987 Ltd.\nHar Hotzvim Science Park\nPOB 45025\n91450 Jerusalem, Israel\nTelephone: +972-2-589-9115\nFax: +972-2-586-6680\nEmail: rachel.weissbrod~oridion.com\nDEVICE INFORMATION\nTrade Name: Capnostream 20 with Integrated Pulmonary Index\nCommon Name: Two Parameter Bedside Monitor\nClassification Name: Capnograph/Pulse Oximeter\nRegulation Number:\n868.1400, Carbon Dioxide Analyzer (Classification COK)\n870.2700 Pulse Oximeter (Classification DQA)\nDevice Listing Number: B051971PREDICATE DEVICE\nCapnostream 20 with the Integrated Pulmonary Index (IPI) software is substantially\nequivalent to the following commercially available device:\nManufacturer Device 510(k)No.",K082268.pdf.txt,2025-11-05T17:23:40.811131
259,183,subclass of,The host device displays parameters received from the respective modules and\ngenerates alarms when preset alarm thresholds are crossed.,K082268.pdf.txt,2025-11-05T17:23:40.811131
67,152,subclass of,"Rachel Weissbrod, Director of Regulatory Affairs\nOridion Medical 1987 Ltd.\nHar Hotzvim Science Park\nPOB 45025\n91450 Jerusalem, Israel\nTelephone: +972-2-589-9115\nFax: +972-2-586-6680\nEmail: rachel.weissbrod~oridion.com\nDEVICE INFORMATION\nTrade Name: Capnostream 20 with Integrated Pulmonary Index\nCommon Name: Two Parameter Bedside Monitor\nClassification Name: Capnograph/Pulse Oximeter\nRegulation Number:\n868.1400, Carbon Dioxide Analyzer (Classification COK)\n870.2700 Pulse Oximeter (Classification DQA)\nDevice Listing Number: B051971PREDICATE DEVICE\nCapnostream 20 with the Integrated Pulmonary Index (IPI) software is substantially\nequivalent to the following commercially available device:\nManufacturer Device 510(k)No.",K082268.pdf.txt,2025-11-05T17:23:40.811131
50,205,instance of,"Rachel Weissbrod, Director of Regulatory Affairs\nOridion Medical 1987 Ltd.\nHar Hotzvim Science Park\nPOB 45025\n91450 Jerusalem, Israel\nTelephone: +972-2-589-9115\nFax: +972-2-586-6680\nEmail: rachel.weissbrod~oridion.com\nDEVICE INFORMATION\nTrade Name: Capnostream 20 with Integrated Pulmonary Index\nCommon Name: Two Parameter Bedside Monitor\nClassification Name: Capnograph/Pulse Oximeter\nRegulation Number:\n868.1400, Carbon Dioxide Analyzer (Classification COK)\n870.2700 Pulse Oximeter (Classification DQA)\nDevice Listing Number: B051971PREDICATE DEVICE\nCapnostream 20 with the Integrated Pulmonary Index (IPI) software is substantially\nequivalent to the following commercially available device:\nManufacturer Device 510(k)No.",K082268.pdf.txt,2025-11-05T17:23:40.811131
262,263,studies,"Clearance Date\nOridion 1987 Capnostream 20 K072295 October 1 1th, 2007\nMedical Ltd\nDEVICE DESCRIPTION\nThe Capnostream 20 bedside monitor is a two parameter monitor consisting of a\nminiMediCO 2capnography module and a pulse oximetry module implemented in a host\ndevice.",K082268.pdf.txt,2025-11-05T17:23:40.811131
