subject,predicate,object,source_documents,intext_evidence,creation_timestamp,last_updated_timestamp
Submission:K101995,hasKNumber,K101995,K101995_p01.txt,K101995,2025-11-19T04:39:17.537141+00:00,2025-11-19T04:39:17.537141+00:00
Submission:K101995,CONCERNSDEVICE,MedicalDevice:K101995,K101995_p01.txt,see DEVICE INFORMATION block,2025-11-19T04:39:17.537141+00:00,2025-11-19T04:39:17.537141+00:00
MedicalDevice:K101995,hasTradeName,Capnostream2o,K101995_p01.txt,Capnostream2o,2025-11-19T04:39:17.537141+00:00,2025-11-19T04:39:17.537141+00:00
MedicalDevice:K101995,hasCommonName,Two Parameter Bedside Monitor,K101995_p01.txt,Two Parameter Bedside Monitor,2025-11-19T04:39:17.537141+00:00,2025-11-19T04:39:17.537141+00:00
MedicalDevice:K101995,hasProductCode,CCK,K101995_p01.txt,CCK,2025-11-19T04:39:17.537141+00:00,2025-11-19T04:39:17.537141+00:00
MedicalDevice:K101995,hasProductCode,DQA,K101995_p01.txt,DQA,2025-11-19T04:39:17.537141+00:00,2025-11-19T04:39:17.537141+00:00
MedicalDevice:K101995,hasRegulationNumber,868.1400,K101995_p01.txt,868.1400,2025-11-19T04:39:17.537141+00:00,2025-11-19T04:39:17.537141+00:00
MedicalDevice:K101995,hasRegulationNumber,807.92,K101995_p01.txt,807.92,2025-11-19T04:39:17.537141+00:00,2025-11-19T04:39:17.537141+00:00
MedicalDevice:K101995,hasRegulationNumber,870.2700,K101995_p02.txt,870.2700,2025-11-19T04:39:17.537141+00:00,2025-11-19T04:39:17.537141+00:00
MedicalDevice:K101995,hasDeviceClass,Class II,K101995_p01.txt,Class II,2025-11-19T04:39:17.537141+00:00,2025-11-19T04:39:17.537141+00:00
Submission:K101995,HASAPPLICANT,Applicant:Oridion Capnography Inc,K101995_p01.txt,Oridion Capnography Inc,2025-11-19T04:39:17.537141+00:00,2025-11-19T04:39:17.537141+00:00
Submission:K101995,HASPREDICATEDEVICE,PredicateDevice:K082268,K101995_p04.txt,K082268,2025-11-19T04:39:17.537141+00:00,2025-11-19T04:39:17.537141+00:00
PredicateDevice:K082268,hasPredicateName,th microMediCO2CO2 module Predicate Device- Capnostream2O Bedside Monitor  The indications for use are identical to The Capnostream2O combined the,K101995_p04.txt,th microMediCO2CO2 module Predicate Device- Capnostream2O Bedside Monitor K082268 The indications for use are identical to The Capnostream2O combined the,2025-11-19T04:39:17.537141+00:00,2025-11-19T04:39:17.537141+00:00
MedicalDevice:K101995,hasIndicationsForUseText,"the  indications for  use  in the  predicate 
device 

capnograph/pulse  oximeter  monitor  is intended
to provide  professionally trained  health  care
providers  the continuous,  non  invasive
measurement  and  monitoring  of carbon
dioxide  concentration of the  expired  and
inspired  breath  and  respiration  rate,  and  for
the  continuous  non-invasive  monitoring  of
functional  oxygen saturation  of arterial
hemoglobin  (SP02  and  pulse  rate).  It is
intended  for use with  neonatal,  pediatric  and
adult  patients in hospitals,  hospital type
facilities, intra  hospital transport and  home
environments.

Target 
population 

Design 

Where  Used 

It is intended  for  use with  neonatal, 
pediatric, and  adult  patients. 

It is intended  for use  with neonatal,  pediatric,
and  adult  patients.

Identical  to  the Capnostream2o 
described  in K082268  with  the
exception  of the  introduction  of the
micromediCa2  C02  modul",K101995_p01.txt,"the  indications for  use  in the  predicate 
device 

capnograph/pulse  oximeter  monitor  is intended
to provide  professionally trained  health  care
providers  the continuous,  non  invasive
measu",2025-11-19T04:39:17.537141+00:00,2025-11-19T04:39:17.537141+00:00
Submission:K101995,hasDecisionDate,MAY  k 2 2010,K101995_p01.txt,MAY  k 2 2010,2025-11-19T04:39:17.537141+00:00,2025-11-19T04:39:17.537141+00:00
Applicant:Oridion Capnography Inc,hasContactEmail,rachel.weissbrod@oridion.com,K101995_p01.txt,Email:  rachel.weissbrod~oridion.com,2025-11-19T04:39:17.537141+00:00,2025-11-19T04:39:17.537141+00:00
MedicalDevice:K101995,supportedByTestingData,TestingData:K101995:1,K101995_p04.txt,biocompatibility  for this device  and  no  biocompatibility  testing  was  done.   Sterility,2025-11-19T04:39:17.537141+00:00,2025-11-19T04:39:17.537141+00:00
TestingData:K101995:1,hasTestType,Testing,K101995_p04.txt,biocompatibility  for this device  and  no  biocompatibility  testing  was  done.   Sterility,2025-11-19T04:39:17.537141+00:00,2025-11-19T04:39:17.537141+00:00
TestingData:K101995:1,hasTestSummaryText,biocompatibility  for this device  and  no  biocompatibility  testing  was  done.   Sterility,K101995_p04.txt,biocompatibility  for this device  and  no  biocompatibility  testing  was  done.   Sterility,2025-11-19T04:39:17.537141+00:00,2025-11-19T04:39:17.537141+00:00
MedicalDevice:K101995,supportedByTestingData,TestingData:K101995:2,K101995_p04.txt,There  are  no  issues  of biocompatibility  for this device  and  no  biocompatibility testing was done.  This device does  not  require sterilization  and  is,2025-11-19T04:39:17.537141+00:00,2025-11-19T04:39:17.537141+00:00
TestingData:K101995:2,hasTestType,Testing,K101995_p04.txt,There  are  no  issues  of biocompatibility  for this device  and  no  biocompatibility testing was done.  This device does  not  require sterilization  and  is,2025-11-19T04:39:17.537141+00:00,2025-11-19T04:39:17.537141+00:00
TestingData:K101995:2,hasTestSummaryText,There  are  no  issues  of biocompatibility  for this device  and  no  biocompatibility testing was done.  This device does  not  require sterilization  and  is,K101995_p04.txt,There  are  no  issues  of biocompatibility  for this device  and  no  biocompatibility testing was done.  This device does  not  require sterilization  and  is,2025-11-19T04:39:17.537141+00:00,2025-11-19T04:39:17.537141+00:00
